Date,AAPL,MSFT,AMZN,GOOGL,NVDA,JPM,TSLA,TSM
2015-01-02,24.745994567871094,41.1938362121582,308.5199890136719,529.5499877929688,4.839469909667969,51.89316177368164,43.86199951171875,17.87660789489746
2015-01-05,24.048866271972656,40.81503677368164,302.19000244140625,519.4600219726562,4.757732391357422,50.28214263916016,42.01800155639648,17.443334579467773
2015-01-06,24.05112838745117,40.21596908569336,295.2900085449219,506.6400146484375,4.613484859466553,48.97837066650391,42.25600051879883,17.138437271118164
2015-01-07,24.388376235961918,40.72692489624024,298.4200134277344,505.1499938964844,4.60146427154541,49.0531120300293,42.18999862670898,17.38716697692871
2015-01-08,25.32542991638184,41.92504119873047,300.4599914550781,506.9100036621094,4.774559497833252,50.14927291870117,42.124000549316406,17.499496459960938
2015-01-09,25.35259437561035,41.57265090942383,296.92999267578125,500.7200012207031,4.793792724609375,49.27732467651367,41.33200073242188,17.010059356689453
2015-01-12,24.727888107299805,41.05287551879883,291.4100036621094,497.05999755859375,4.73369026184082,48.853816986083984,40.44200134277344,16.681093215942383
2015-01-13,24.947439193725582,40.84144592285156,294.739990234375,501.7999877929688,4.726476669311523,48.86212539672852,40.84999847412109,16.889705657958984
2015-01-14,24.85237693786621,40.489070892333984,293.2699890136719,505.9299926757813,4.745710849761963,47.17635345458984,38.53799819946289,16.897727966308594
2015-01-15,24.17788314819336,40.06620407104492,286.95001220703125,504.010009765625,4.712052822113037,45.664981842041016,38.374000549316406,18.366050720214844
2015-01-16,23.990009307861328,40.73574066162109,290.739990234375,510.4599914550781,4.798600673675537,46.445587158203125,38.61399841308594,18.133363723754883
2015-01-20,24.607929229736328,40.86788177490234,289.44000244140625,509.9400024414063,4.813025951385498,46.262882232666016,38.38600158691406,18.526517868041992
2015-01-21,24.79579162597656,40.453834533691406,297.25,520.3900146484375,4.880340099334717,46.4123649597168,39.31399917602539,18.622806549072266
2015-01-22,25.440866470336918,41.51979446411133,310.32000732421875,537.2999877929688,4.964483261108398,47.82408905029297,40.32400131225586,19.023983001708984
2015-01-23,25.5721435546875,41.563846588134766,312.3900146484375,541.9500122070312,4.978909969329834,47.068397521972656,40.257999420166016,19.248647689819336
2015-01-26,25.59930229187012,41.41407012939453,309.6600036621094,536.719970703125,4.957272052764893,47.14313888549805,41.310001373291016,19.385046005249023
2015-01-27,24.70298957824707,37.58188629150391,306.75,521.1900024414062,4.719264507293701,46.66979598999024,41.19599914550781,19.409120559692383
2015-01-28,26.09952163696289,36.2868766784668,303.9100036621094,512.4299926757812,4.642334938049316,45.46567535400391,39.874000549316406,19.20050621032715
2015-01-29,26.912092208862305,37.0092658996582,311.7799987792969,513.22998046875,4.755328178405762,46.22966766357422,41.040000915527344,18.686992645263672
2015-01-30,26.518259048461918,35.59090805053711,354.5299987792969,537.5499877929688,4.615889549255371,45.158424377441406,40.720001220703125,18.22162437438965
2015-02-02,26.850980758666992,36.36615753173828,364.4700012207031,532.2000122070312,4.716861724853516,46.06358337402344,42.1879997253418,18.406169891357425
2015-02-03,26.855506896972656,36.648067474365234,363.5499877929688,533.2999877929688,4.834662437438965,47.10161972045898,43.672000885009766,18.57466125488281
2015-02-04,27.06147575378418,36.85950469970703,364.75,526.0999755859375,4.846682071685791,46.81927490234375,43.709999084472656,18.919679641723636
2015-02-05,27.25462913513184,37.39688491821289,373.8900146484375,529.8300170898438,4.926018714904785,47.14313888549805,44.198001861572266,18.98386573791504
2015-02-06,27.025121688842773,37.36165237426758,374.2799987792969,533.8800048828125,4.90438175201416,48.07320785522461,43.47200012207031,18.5345458984375
2015-02-09,27.20463752746582,37.31760025024414,370.55999755859375,529.280029296875,4.899572372436523,48.01509475708008,43.49599838256836,18.18952751159668
2015-02-10,27.727279663085938,37.52901840209961,373.0,540.1599731445312,5.036607265472412,48.54655075073242,43.257999420166016,19.14434242248535
2015-02-11,28.377174377441406,37.3352165222168,375.1400146484375,538.0,5.002948760986328,48.47182083129883,42.560001373291016,19.489355087280277
2015-02-12,28.736204147338867,37.960693359375,377.1700134277344,546.010009765625,5.361162185668945,49.46832656860352,40.57600021362305,19.63377952575684
2015-02-13,28.877086639404297,38.64785385131836,381.8299865722656,551.1599731445312,5.3635663986206055,49.551368713378906,40.75400161743164,19.93065643310547
2015-02-17,29.04751205444336,38.66559982299805,375.4299926757813,545.010009765625,5.380395412445068,49.90844345092773,40.869998931884766,19.874488830566406
2015-02-18,29.24975204467773,38.621238708496094,373.3699951171875,542.6500244140625,5.317888259887695,49.3022346496582,40.891998291015625,19.82634925842285
2015-02-19,29.188405990600582,38.59461975097656,379.0,546.4500122070312,5.33231258392334,49.185977935791016,42.34199905395508,19.67389678955078
2015-02-20,29.427001953125,38.91403579711914,383.6600036621094,541.7999877929688,5.370779514312744,49.65933227539063,43.422000885009766,19.60971069335937
2015-02-23,30.222320556640625,39.17132186889648,380.1400146484375,535.0,5.327503681182861,49.28562927246094,41.46799850463867,19.43319129943848
2015-02-24,30.033716201782227,39.11808776855469,378.5899963378906,538.6500244140625,5.384218692779541,50.5063591003418,40.821998596191406,20.09112930297852
2015-02-25,29.26565933227539,39.02937316894531,385.3699951171875,547.3300170898438,5.343191146850586,50.77208709716797,40.75199890136719,20.09112930297852
